Movie Tracker,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,First month,,Getting in the groove,,,First rewatches,,,BR2049 and Endgame,,,The Tarantino Experience,,,Lotta free time...,,,"Back home, held back on movies",,,"Preparing for VT, Bilal's first R",,,Focusing on school,,,Joker with the lads,,,"Back into it, Thxgiving break",,,"Movies w/the lads, 1st semester ends",,
January,Date,Rating,February,Date,Rating,March,Date,Rating,April,Date,Rating,May,Date,Rating,June,Date,Rating,July,Date,Rating,August,Date,Rating,September,Date,Rating,October,Date,Rating,November,Date,Rating,December,Date,Rating
Total 5 Star Ratings,99,,Movies Watched More Than Once in 2019,10,,,,,,,,,,,What We Do In The Shadows,26,3.5,,,,,,,,,,,,,,,,,,
Total Movie Watched released in the Current Year,142,,Total Rewatches in 2019,43,,,,,,,,,,,Alien,27,4,,,,,,,,,,,,,,,,,,
Total Must Watches Completed,25.2%,,,,,,,,,,,,,,Memento,27,5,,,,,,,,,,,,,,,,,,
Total Movies rewatched for the first time on LB,136,,,,,,,,,,,,,,Inception,28,5,,,,,,,,,,,,,,,,,,
Total Movies Rewatched Multiple Times,110,,,,,,,,,,,,,,Shaft (2019),28,2,,,,,,,,,,,,,,,,,,
Total Rewatches,246,,,,,,,,,,,,,,Punch-Drunk Love,29,4.5,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,The Dark Knight Rises,30,5,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,Inherent Vice,30,3.5,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,15,,,9,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,16,,,13,,,,,,,,,1,,,,,,,,,24,,,,
,,,,#NAME?,,,,,,18,,,22,,,,,,,,,2,,,,,,,,,25,,,,
,1,,,#NAME?,,,25,,,23,,,29,,,,,,,,,4,,,,,,,,,26,,,19,
15,2,3.83,11,#NAME?,3.73,17,30,3.91,21,26,4.29,18,31,3.83,42,11,4.23,12,1,3.54,14,10,4.21,2,,4.00,10,,3.70,17,29,3.85,21,31,4.10
2020,A New Year,,New Movie Month,,,Corona Gang & Extended Spring Break,,,I don't know ,,,Back to DE,,,Rewatch/franchise gang wya,,,Catch Up on the Classics,4,,A Mix of Old and New,,,Rewatch gang with the boys,,,Rewatch gang with the boys but spooky,,,MCU,,,MCU Cont. + Grinding till the end of the yr,,
